id;nom;description;duree;bloquante;statut;date_debut;dl;dlc;phase_parent_id
1;Pre-emptive Chair;Legacy compress Chips;57881;false;alarm;2026-08-25T11:39:25;2026-08-25T12:49:10;2026-08-25T15:29:28;12016
2;Computers;capacitor parse;12498;false;interface actuating THX;2026-08-26T00:47:47;2026-08-26T03:29:48;2026-08-25T09:32:41;81739
3;SMTP;withdrawal;37259;true;withdrawal Small quantify;2026-08-25T18:03:14;2026-08-26T07:49:12;2026-08-25T12:14:01;49151
4;compressing Fresh transitional;Up-sized solid;14900;true;Rufiyaa;2026-08-25T23:30:33;2026-08-25T15:09:39;2026-08-26T00:17:23;93221
5;Customer;white;47522;false;Haiti killer driver;2026-08-26T02:08:09;2026-08-25T10:13:09;2026-08-26T01:58:24;49753
6;navigating quantifying Kentucky;Switchable;98273;false;purposes Checking;2026-08-26T06:10:03;2026-08-25T22:16:31;2026-08-26T06:00:57;63799
7;e-services purple;ROI Montana Hat;367;false;invoice neural;2026-08-25T14:50:31;2026-08-25T16:41:41;2026-08-25T15:06:39;64689
8;firewall Metal;black Seychelles online;49425;false;Solutions synthesizing;2026-08-25T17:57:07;2026-08-26T02:58:03;2026-08-26T05:55:08;26565
9;directional Loaf;port;48920;false;Handmade Guiana utilisation;2026-08-25T08:58:25;2026-08-25T13:04:42;2026-08-25T16:56:46;74888
10;Metal sky workforce;Planner out-of-the-box;96044;true;intuitive;2026-08-25T15:53:08;2026-08-26T07:50:54;2026-08-25T09:13:35;24095
