id;bon_commande_id;article_id;date_realisation;qte_commande;qte_effectuee;prix_article;prix_article_ht
1;10510;52603;2026-07-13T02:34:11;77376;15304;15645;81613
2;40177;69394;2026-07-13T06:51:55;18741;31351;48356;2388
3;10675;29396;2026-07-12T23:18:20;39668;69096;34206;8401
4;77903;15425;2026-07-12T18:33:27;52234;48348;26495;69828
5;33671;49520;2026-07-13T08:11:47;47508;70886;77072;65310
6;43632;59966;2026-07-12T19:38:06;53939;18761;91577;32678
7;60416;87473;2026-07-13T01:29:59;35351;67547;98612;17052
8;76065;96464;2026-07-13T12:36:46;3017;47163;24447;63468
9;88104;28236;2026-07-13T03:43:18;13190;76448;64449;37206
10;32508;19485;2026-07-12T16:25:25;51741;20750;12094;1491
