id;code;statut;type;date_creation;date_mise_a_disposition;work_order_id;affaire_id;demandeur_id;demandeur_user_login;validateur_id;validateur_user_login;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login
1;overriding Colorado;Valide;OffreDePrix;2026-03-11T21:34:52;2026-03-12;38002;11702;Decentralized grow concept;Diverse payment;up solutions;Frozen Money;2026-03-12T11:08:36;2026-03-11T23:57:43;Data violet RSS;Fresh Gold;invoice THX HDD;Botswana auxiliary markets
2;Digitized architecture Wooden;Valide;OffreDePrix;2026-03-12T00:04:34;2026-03-12;39340;64517;application;Concrete;Auto firewall;Dynamic;2026-03-12T06:28:15;2026-03-11T17:18:13;Response Lead;dedicated haptic Legacy;Plastic;Fresh optimal Investment
3;feed infomediaries Borders;Soumis;OffreDePrix;2026-03-12T12:05:39;2026-03-12;50733;89662;GB salmon;primary Licensed Borders;Metrics;matrix capacitor;2026-03-11T13:26:18;2026-03-12T08:22:34;compelling Soap;calculate Account;generating Metal;e-services Bedfordshire Home
4;Sausages;Valide;Achat;2026-03-12T09:38:16;2026-03-11;94287;73641;Kansas Strategist;vertical Investor;Extension e-business Account;Trafficway Ports;2026-03-12T12:39:58;2026-03-12T00:58:28;Buckinghamshire;radical Fresh invoice;Configurable primary;Intelligent Borders
5;card;Soumis;OffreDePrix;2026-03-12T04:08:13;2026-03-11;92542;26871;IB Lead;experiences Underpass Steel;front-end;grow Facilitator;2026-03-11T22:30:01;2026-03-12T08:39:04;Virginia real-time fuchsia;Loan quantify Fresh;Forward;Metal
6;Jersey;Soumis;OffreDePrix;2026-03-12T07:01:50;2026-03-12;95672;9394;Court;Generic Marketing;Manors multi-byte;Awesome logistical;2026-03-11T16:56:42;2026-03-12T08:16:42;quantify;Small clicks-and-mortar;withdrawal coherent frictionless;Internal Identity
7;indexing Berkshire Buckinghamshire;Valide;Achat;2026-03-12T04:24:07;2026-03-12;21750;81409;Assistant hard;Global Pizza;Handmade Drive Account;Chair indexing;2026-03-12T05:04:26;2026-03-12T00:42:10;Market;Massachusetts;SMTP national Rustic;hack
8;silver Director program;Valide;OffreDePrix;2026-03-12T09:52:49;2026-03-11;46737;64911;parsing Rial;Home invoice;auxiliary International Optimization;SQL Manager;2026-03-12T04:26:03;2026-03-11T15:52:29;portals deposit Borders;Berkshire Berkshire SQL;SMS;Chair Account
9;Operative empower;Valide;Achat;2026-03-12T04:58:26;2026-03-11;31340;60699;transform Arab;Light Cotton;deposit Generic withdrawal;auxiliary;2026-03-12T09:26:40;2026-03-11T14:58:18;matrix Korea;Orchestrator;Route grid-enabled black;invoice Overpass backing
10;Intelligent;Valide;OffreDePrix;2026-03-12T02:28:32;2026-03-12;92819;93785;leading-edge Pakistan;Steel clear-thinking Direct;Buckinghamshire Grass-roots program;Berkshire directional Account;2026-03-12T08:27:29;2026-03-11T20:42:06;Carolina;expedite;transparent visionary;JSON SMS overriding
