id;ot_id;article_id;prix_propose;date_affectation;qte_commandee;qte_realisee;phase_ot_id
1;66700;69275;52924;2026-07-12T23:19:11;54544;37419;9461
2;32410;18777;17079;2026-07-13T12:33:04;89506;90998;97631
3;39997;44625;10273;2026-07-13T02:08:17;36105;29083;44092
4;71624;14199;82970;2026-07-12T23:03:56;48930;13472;87575
5;63072;1915;29470;2026-07-13T01:55:02;86425;32400;21240
6;60469;61089;5024;2026-07-12T20:59:26;99745;2542;36298
7;10734;14188;48959;2026-07-12T17:38:23;13283;80325;5736
8;65775;40517;28277;2026-07-13T09:48:14;80209;9350;41696
9;80995;41260;16945;2026-07-13T05:54:07;47809;45968;67332
10;24345;8843;58073;2026-07-13T09:15:45;91476;61164;87018
