id;montant;motif;work_order_id;beneficiaire_id;beneficiaire_user_login;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login
1;90262;Innovative Afghani optical;557;Corporate Madagascar Delaware;Practical;2026-03-11T18:45:51;2026-03-12T12:23:19;Squares Multi-lateral;paradigms;gold Chief;Kansas local frictionless
2;91719;Enterprise-wide;46280;B2B;red feed architectures;2026-03-12T09:12:40;2026-03-12T07:32:48;Forward;directional protocol;Group;applications CSS Generic
3;79270;Forward haptic maximize;38648;empowering California visualize;Central Central Lead;2026-03-12T04:54:21;2026-03-12T10:04:01;Fuerte;incubate;Fantastic;transmitting Pataca Metical
4;33539;workforce pixel Principal;12397;Investor visionary 24;Dynamic reintermediate Licensed;2026-03-12T11:39:15;2026-03-11T21:32:10;Guadeloupe Human;Strategist;Granite quantify;Land Generic
5;3902;invoice drive connect;77189;Operations;Money metrics Games;2026-03-11T17:08:43;2026-03-12T00:11:34;Accountability RSS calculate;Walk Shoes;Viaduct vortals;olive
6;71355;Berkshire;44486;Village analyzing generate;payment mobile input;2026-03-12T09:35:30;2026-03-11T20:38:02;benchmark copy Checking;azure calculating;Bike;Squares
7;64979;Loan lavender;3683;sensor solution copying;mint Intelligent;2026-03-12T01:42:20;2026-03-11T13:48:49;Senior Loan wireless;world-class;haptic functionalities Automotive;Ghana Loan bandwidth
8;84770;Orchestrator Optimization;61778;Metrics Brand Rustic;green Fantastic;2026-03-12T11:58:22;2026-03-11T15:37:24;neural Toys Director;Drive;International withdrawal primary;Tasty
9;9511;calculate;34391;orchid Creative;Plastic;2026-03-12T05:54:22;2026-03-12T08:16:03;microchip Wooden;Table Interactions;Agent West;state reciprocal
10;2534;Infrastructure;50222;Buckinghamshire;Ports functionalities;2026-03-12T13:05:18;2026-03-12T02:15:28;Account vortals;Union;Afghanistan Salad;implement
