id;date_debut;date_fin;montant_total;avance_recue;net_a_payer;note_rendement;note_qualite;note_conduite;note_totale;bonus_extra;justificatif_bonus;justificatif_modification;statut;work_order_id;beneficiaire_id;beneficiaire_user_login;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login
1;2026-03-12;2026-03-11;50383;71509;95678;55912;93970;70318;50907;59470;matrix compress Squares;Utah;Creation;55776;magnetic and;Regional iterate;2026-03-11T22:26:09;2026-03-11T23:54:55;Estate connect;Operations Ball Representative;Manager;protocol 1080p relationships
2;2026-03-11;2026-03-12;38586;13676;28318;82841;28956;17694;75162;10065;Lead Jamaica mesh;mobile;Paiement;53767;AI connecting;convergence;2026-03-12T04:43:47;2026-03-12T10:03:19;Unbranded schemas;Account firewall;overriding;Ridge
3;2026-03-11;2026-03-12;44221;37898;43743;70699;64812;86466;63893;9427;black Montserrat;Frozen;Fin;67646;Unbranded;quantifying Generic Outdoors;2026-03-11T18:07:10;2026-03-12T04:02:16;Metal Islands;Car;program Communications discrete;maroon auxiliary Wooden
4;2026-03-11;2026-03-11;30579;93119;95917;21445;26750;76181;8264;94774;Rustic Account;e-business;ValidationDirectionTechnique;79552;Rubber;violet;2026-03-12T08:48:26;2026-03-12T06:50:26;multi-byte;Electronics Practical Buckinghamshire;District efficient Car;Account digital bypass
5;2026-03-12;2026-03-12;12327;72470;83788;46640;75507;82830;23542;7302;SMS Bike AGP;Branding disintermediate;ValidationDirectionTechnique;41487;Bermuda interface;repurpose South;2026-03-11T16:25:00;2026-03-11T16:27:17;transmit online Zambia;Optional withdrawal invoice;withdrawal bus Tactics;system Enterprise-wide Human
6;2026-03-12;2026-03-12;93913;6671;77740;91857;63153;108;97313;72251;open-source;program Incredible;Verification;78217;frame;violet;2026-03-12T03:45:21;2026-03-11T19:54:38;Loan;Beauty;program;invoice
7;2026-03-11;2026-03-11;18027;95934;36145;79728;45124;91738;99696;82007;Virginia Factors;Oklahoma mobile;Paiement;59817;primary Steel and;Diverse Arizona Analyst;2026-03-12T02:11:28;2026-03-12T04:35:10;Kids infomediaries application;Rubber Tasty;redefine;Home Lithuania
8;2026-03-12;2026-03-12;98635;25285;49008;87425;72479;84809;60404;12594;Fiji;Product;Paiement;38902;Burgs parse withdrawal;Cheese;2026-03-12T11:33:14;2026-03-11T17:02:26;Arkansas;Granite Rustic;array parsing;world-class Legacy
9;2026-03-11;2026-03-11;89669;36918;30078;64564;34918;89602;9312;67230;upward-trending;Architect Ergonomic virtual;ValidationDirectionTechnique;13683;Dakota engineer;compressing Integrated blockchains;2026-03-12T04:06:28;2026-03-11T16:02:40;transmitting application;Cotton Representative;Configuration silver;microchip cross-media architectures
10;2026-03-12;2026-03-11;36494;26760;42174;38596;93509;56125;74683;50396;Senior Electronics;FTP;Creation;96998;Avon gold;Estate;2026-03-11T21:03:34;2026-03-11T23:23:24;Ameliorated Salad;Grocery Madagascar North;purposes;GB virtual Licensed
