id;client_id;affaire_id;lieu;responsable_id;reference_client;date_bon_commande;montant_total;montant_commande;montant_consomme;montant_mission_effectue;identifiant_unique;status
1;13489;87217;user;client-server;transmitter;2026-07-13T00:11:26;81024;15874;47533;25690;overriding evolve;Human Bhutan
2;13185;77109;harness Cambridgeshire Account;Delaware Bedfordshire;Bedfordshire Mouse;2026-07-13T03:36:36;87027;63978;53349;49481;ROI Gloves;Chips Fresh
3;26267;99672;adapter auxiliary Oklahoma;calculating sexy sensor;applications turquoise Guinea;2026-07-12T16:45:59;53943;62425;28341;66272;Berkshire Rubber protocol;firewall
4;55435;43371;Security;neutral;JBOD;2026-07-13T08:24:44;11409;27537;38166;5702;dot-com;withdrawal
5;6217;96801;Kentucky interactive;help-desk;sky;2026-07-12T23:57:28;47066;66889;50750;91013;system-worthy interface program;Ethiopia
6;25463;37514;salmon;systems Division Books;black Baby;2026-07-12T19:14:11;78294;65002;34485;84999;AGP Operative Tuvalu;Avon
7;93445;94364;invoice Investment;proactive;Shoes payment Incredible;2026-07-12T20:38:31;69667;94641;93891;96021;Intelligent;Maine Specialist Director
8;60186;34882;Intelligent Cambridgeshire;strategize compressing Bacon;pink throughput copying;2026-07-13T00:22:30;66581;45246;21443;77757;synthesizing Games Stand-alone;mesh granular 3rd
9;86235;58882;integrate Intranet SMS;Metal;compress;2026-07-13T00:11:07;54278;89607;59897;48816;drive brand Accountability;deposit Cambridgeshire back
10;3967;91302;panel Shoes green;Rubber;Borders protocol;2026-07-13T00:54:12;98243;41077;65850;17733;USB Mouse;Licensed Exclusive Extended
