id;num_facture;bon_de_commande;montant_facture;date_facture;date_echeance;date_decharge;statut;client_id;created_at;updated_at;created_by;created_by_user_login;updated_by;updated_by_user_login
1;best-of-breed Shirt;Health;97998;2026-03-11;2026-03-12;2026-03-12;Fin;86369;2026-03-12T06:20:56;2026-03-12T04:24:05;RAM set;Identity deposit input;Automotive payment;Analyst Awesome Incredible
2;state;Dalasi;59706;2026-03-11;2026-03-11;2026-03-12;Verification;46199;2026-03-12T09:10:07;2026-03-11T22:26:29;deposit web-readiness;Berkshire Sleek;hack Colorado;Shoes
3;Distributed hierarchy Romania;Group;64437;2026-03-12;2026-03-11;2026-03-11;Creation;80138;2026-03-12T01:03:46;2026-03-11T19:46:30;iterate payment synthesize;calculate generate ability;Accountability;Horizontal Unbranded
4;teal;South;22367;2026-03-11;2026-03-11;2026-03-11;Fin;68580;2026-03-12T01:34:49;2026-03-11T15:47:19;Chair Internal Buckinghamshire;USB mint;Garden Manager clicks-and-mortar;maroon
5;Loan task-force Shilling;incubate;66397;2026-03-12;2026-03-12;2026-03-12;Fin;80504;2026-03-11T20:13:27;2026-03-11T20:16:50;Gloves;connect copy;Fish collaborative;Operations
6;Avon Fantastic;mobile Port;92844;2026-03-11;2026-03-12;2026-03-12;Decharge;60884;2026-03-11T22:31:50;2026-03-11T23:14:10;Peso deposit;e-tailers;Dollar Chief;withdrawal
7;Rubber Handcrafted;Tools digital hub;8359;2026-03-11;2026-03-11;2026-03-11;Fin;73563;2026-03-12T07:29:17;2026-03-12T07:24:35;schemas system-worthy SQL;extend quantify;Adaptive neural;face
8;Lead Rubber Wooden;Executive;41354;2026-03-12;2026-03-11;2026-03-12;Verification;36082;2026-03-12T02:16:50;2026-03-11T21:19:26;user-facing;hierarchy Pa'anga solutions;Personal Granite reintermediate;Integrated turquoise Security
9;capacitor Roads Metal;Shoes Savings emulation;67439;2026-03-12;2026-03-12;2026-03-12;Verification;61801;2026-03-12T08:15:13;2026-03-12T00:25:53;Loan;markets portal Idaho;Utah Assurance transmit;RAM
10;Buckinghamshire Pre-emptive;1080p Chicken;61749;2026-03-12;2026-03-11;2026-03-11;Paiement;50848;2026-03-12T11:55:45;2026-03-11T18:20:43;Incredible Optimization;Dollar circuit;Incredible Isle Supervisor;Web Total Moldova
